,Unnamed: 0,title,all_tags,type
16,16,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,fantasy young-adult fiction magic childrens adventure classics teen supernatural science-fiction-fantasy action british-literature dragons epic-fantasy science-fiction high-fantasy adult adult-fiction collections epic classic-literature mythology war movies j.r.r.tolkien,book
17,17,"The Lord of the Rings (The Lord of the Rings, #1-3)",fantasy young-adult fiction magic adventure classics novels science-fiction-fantasy british-literature epic-fantasy science-fiction high-fantasy adult adult-fiction literature speculative-fiction 20th-century abandoned ebooks modern-classics unfinished epic classic-literature mythology war movies english-literature j.r.r.tolkien,book
18,18,"The Fellowship of the Ring (The Lord of the Rings, #1)",fantasy young-adult fiction magic adventure classics novels science-fiction-fantasy british-literature epic-fantasy science-fiction high-fantasy adult adult-fiction literature speculative-fiction 20th-century abandoned ebooks modern-classics unfinished epic classic-literature war movies j.r.r.tolkien,book
19,19,The Lord of the Rings: Weapons and Warfare,fantasy fiction science-fiction-fantasy high-fantasy adult science non-fiction reference war movies art film media-tie-in research photography chrissmith christopherlee richardtaylor,book
20,20,"Hatchet (Brian's Saga, #1)",young-adult fiction childrens adventure children-s classics novels middle-grade teen juvenile contemporary coming-of-age action nature survival realistic-fiction school read-for-school wilderness canada chapter-books divorce garypaulsen,book
21,21,The Known World,fiction classics novels contemporary adult adult-fiction literature abandoned ebooks unfinished history historical american 21st-century historical-fiction african-american literary-fiction southern race african-american-literature american-history 19th-century edwardp.jones,book
22,22,Heidi,young-adult fiction childrens adventure children-s classics novels middle-grade juvenile coming-of-age literature ebooks historical germany classic-literature realistic-fiction school chapter-books historical-fiction 19th-century childrens-classics family young-readers johannaspyri angelorinaldi beverlycleary,book
23,23,What to Expect the First Year (What to Expect),childrens children-s adult abandoned ebooks unfinished non-fiction reference education family parenting health self-help how-to adoption medical heidimurkoff sharonmazel heidimurkoff arleneeisenberg sandeehathaway markd.widome,book
24,24,Chapterhouse: Dune (Dune Chronicles #6),fantasy fiction adventure classics novels science-fiction-fantasy science-fiction adult space adult-fiction literature science speculative-fiction 20th-century ebooks space-opera philosophy american epic religion politics frankherbert,book
25,25,Dune Messiah (Dune Chronicles #2),fantasy fiction adventure classics novels science-fiction-fantasy science-fiction adult space adult-fiction literature science speculative-fiction 20th-century abandoned ebooks unfinished space-opera philosophy american epic religion politics criticism frankherbert,book
26,26,Children of Dune (Dune Chronicles #3),fantasy fiction adventure classics novels science-fiction-fantasy science-fiction adult space adult-fiction literature science speculative-fiction 20th-century abandoned ebooks space-opera philosophy american epic religion politics criticism frankherbert,book
27,27,Heretics of Dune (Dune Chronicles #5),fantasy fiction adventure classics novels science-fiction-fantasy science-fiction adult space adult-fiction literature science speculative-fiction 20th-century abandoned ebooks space-opera philosophy american epic religion politics robots planets frankherbert,book
28,28,The Lord of the Rings: The Art of The Fellowship of the Ring,fantasy fiction classics novels adult science non-fiction reference movies art film photography picture-books fandom garyrussell,book
29,29,"The Power of One (The Power of One, #1)",young-adult fiction adventure classics novels contemporary coming-of-age adult adult-fiction literature 20th-century abandoned unfinished history non-fiction historical australia memoir war realistic-fiction school read-for-school historical-fiction literary-fiction race africa south-africa drama inspirational sports high-school cultural brycecourtenay,book
30,30,I am Charlotte Simmons,young-adult fiction novels romance contemporary coming-of-age adult adult-fiction literature abandoned unfinished education american 21st-century americana realistic-fiction school literary-fiction southern drama college academia relationships american-fiction tomwolfe,book
31,31,Tropic of Cancer,fiction classics novels romance contemporary adult-fiction literature 20th-century abandoned ebooks modern-classics unfinished non-fiction american memoir autobiography americana classic-literature literary-fiction drama american-fiction banned-books modern henrymiller,book
32,32,Tropic of Capricorn,fiction classics novels romance contemporary adult adult-fiction literature 20th-century abandoned ebooks modern-classics unfinished non-fiction american biography united-states americana classic-literature english-literature literary-fiction drama american-fiction banned-books modern erotica new-york sexuality american-classics henrymiller,book
33,33,The Portrait of a Lady,fiction classics novels romance british-literature adult adult-fiction literature abandoned ebooks unfinished historical american classic-literature english-literature school historical-fiction literary-fiction 19th-century college american-classics victorian italy henryjames patriciacrick,book
34,34,The Lover,fiction classics novels romance contemporary coming-of-age love adult adult-fiction literature 20th-century ebooks modern-classics non-fiction historical memoir biography france school read-for-school historical-fiction literary-fiction drama college erotica sexuality french-literature asia novella roman european-literature margueriteduras barbarabray maxinehongkingston,book
35,35,The Broken Wings,fantasy classics novels romance love literature 20th-century ebooks philosophy non-fiction american religion drama inspirational asia poetry spirituality lebanon romantic kahlilgibran anthonyr.ferris,book
36,36,Treasure Island,fantasy young-adult fiction childrens adventure children-s classics novels middle-grade juvenile action british-literature thriller literature ebooks history historical classic-literature english-literature school read-for-school historical-fiction literary-fiction 19th-century childrens-classics victorian pirates robertlouisstevenson,book
37,37,Daniel Deronda,fiction classics novels romance british-literature adult adult-fiction literature abandoned ebooks unfinished historical classic-literature english-literature school historical-fiction literary-fiction 19th-century religion victorian jewish judaism grad-school georgeeliot edmundwhite,book
38,38,One Hundred Years of Solitude,fiction classics novels romance contemporary adult adult-fiction literature 20th-century abandoned historical classic-literature school literary-fiction family drama latin-american latin-american-literature spanish-literature magical-realism gabrielgarcíamárquez gregoryrabassa,book
39,39,Perfume: The Story of a Murderer,fantasy fiction classics novels mystery contemporary thriller adult adult-fiction literature 20th-century abandoned modern-classics unfinished history historical france germany movies school read-for-school historical-fiction literary-fiction drama roman european-literature magical-realism horror crime german-literature gothic suspense dark mystery-thriller patricksüskind johne.woods,book
40,40,The Door Into Summer,fantasy young-adult fiction adventure classics novels juvenile romance science-fiction-fantasy time-travel science-fiction space science speculative-fiction ebooks travel american robots cats roberta.heinlein,book
41,41,Stranger in a Strange Land,fantasy fiction classics novels science-fiction-fantasy science-fiction adult adult-fiction aliens literature science speculative-fiction 20th-century abandoned ebooks unfinished philosophy american classic-literature religion dystopia roberta.heinlein,book
42,42,Time Enough for Love,fantasy fiction adventure classics novels romance science-fiction-fantasy time-travel science-fiction space literature science speculative-fiction abandoned space-opera american polyamory roberta.heinlein,book
43,43,Job: A Comedy of Justice,fantasy fiction adventure classics novels urban-fantasy romance science-fiction-fantasy time-travel humor science-fiction comedy space science speculative-fiction abandoned ebooks unfinished philosophy american religion post-apocalyptic roberta.heinlein,book
44,44,"The Long Dark Tea-Time of the Soul (Dirk Gently, #2)",fantasy fiction adventure classics novels urban-fantasy supernatural mystery contemporary science-fiction-fantasy british-literature humor science-fiction funny comedy adult adult-fiction literature science speculative-fiction 20th-century ebooks mythology crime detective douglasadams,book
45,45,"The Salmon of Doubt (Dirk Gently, #3)",fantasy fiction adventure classics novels mystery science-fiction-fantasy british-literature humor science-fiction funny comedy adult adult-fiction literature science speculative-fiction ebooks philosophy non-fiction essays biography short-stories religion anthologies douglasadams,book
46,46,"Mostly Harmless (Hitchhiker's Guide to the Galaxy, #5)",fantasy young-adult fiction adventure classics novels science-fiction-fantasy british-literature time-travel humor science-fiction funny comedy adult space adult-fiction aliens literature science speculative-fiction 20th-century ebooks space-opera douglasadams,book
47,47,Dirk Gently's Holistic Detective Agency (Dirk Gently #1),fantasy fiction adventure classics novels paranormal urban-fantasy mystery contemporary science-fiction-fantasy british-literature time-travel humor science-fiction funny comedy adult adult-fiction literature science speculative-fiction 20th-century abandoned ebooks travel crime detective ghosts douglasadams,book
48,48,The Phantom Tollbooth,fantasy young-adult fiction magic childrens adventure children-s classics novels middle-grade juvenile humor science-fiction funny comedy literature american language school read-for-school chapter-books childrens-classics young-readers nortonjuster julesfeiffer,book
49,49,Another Bullshit Night in Suck City,fiction novels contemporary humor comedy adult literature abandoned non-fiction memoir biography biography-memoir autobiography school family college poetry mental-illness mental-health nickflynn,book
50,50,Libra,fiction classics novels contemporary thriller literature 20th-century abandoned modern-classics unfinished history non-fiction historical american biography americana school historical-fiction literary-fiction american-history politics american-fiction crime espionage dondelillo,book
51,51,Gravity's Rainbow,fantasy fiction classics novels contemporary humor science-fiction literature science 20th-century abandoned ebooks modern-classics unfinished philosophy history historical american war historical-fiction literary-fiction american-fiction modern thomaspynchon,book
52,52,Slouching Towards Bethlehem,fiction classics contemporary adult 20th-century abandoned unfinished collections philosophy history non-fiction travel essays american memoir biography biography-memoir autobiography short-stories writing americana journalism cultural-studies sociology school politics college new-york feminism joandidion,book
53,53,Play It as It Lays,fiction classics novels contemporary adult adult-fiction literature 20th-century abandoned non-fiction essays memoir united-states americana school historical-fiction literary-fiction college american-fiction feminism joandidion davidthomson,book
54,54,The New York Trilogy,fiction classics novels mystery contemporary thriller adult adult-fiction literature 20th-century abandoned ebooks unfinished american short-stories united-states americana literary-fiction american-fiction modern new-york roman magical-realism crime mystery-thriller detective noir paulauster artspiegelman,book
55,55,"City of Glass (The New York Trilogy, #1)",fiction classics novels mystery contemporary thriller adult adult-fiction literature 20th-century philosophy american short-stories united-states school read-for-school literary-fiction college american-fiction modern new-york roman crime mystery-thriller detective noir graphic-novels comics paulauster,book
56,56,The Brooklyn Follies,fiction classics novels romance contemporary humor adult adult-fiction literature abandoned unfinished american 21st-century united-states americana realistic-fiction literary-fiction family drama american-fiction modern new-york roman paulauster,book
57,57,Moon Palace,fiction novels romance adult-fiction literature 20th-century american literary-fiction drama american-fiction modern new-york roman paulauster,book
58,58,Timbuktu,fiction adventure classics novels contemporary adult-fiction literature 20th-century abandoned philosophy american animals americana school literary-fiction drama american-fiction modern new-york novella roman dogs paulauster,book
59,59,Leviathan,fiction novels mystery romance contemporary thriller adult-fiction literature 20th-century philosophy american americana school literary-fiction drama relationships american-fiction modern new-york roman crime paulauster,book
60,60,Collapse: How Societies Choose to Fail or Succeed,science abandoned ebooks philosophy history non-fiction historical biology nature natural-history essays anthropology world-history education geography social-science sociology school politics environment economics business archaeology academic society ecology social-issues sustainability psychology climate-change jareddiamond,book
61,61,Killing Yourself to Live: 85% of a True Story,fiction contemporary humor funny comedy adult abandoned ebooks history non-fiction travel essays american memoir biography biography-memoir autobiography journalism cultural-studies sociology criticism college modern music pop-culture death chuckklosterman,book
62,62,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",fiction contemporary humor funny comedy adult science abandoned unfinished philosophy history non-fiction essays american memoir biography short-stories social journalism social-science cultural-studies sociology criticism sports high-school society psychology music pop-culture chuckklosterman,book
63,63,The Automatic Millionaire: A Powerful One-Step Plan to Live and Finish Rich,non-fiction reference school self-help how-to inspirational economics business psychology finance personal-finance money personal-development entrepreneurship davidbach,book
64,64,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,fiction adventure classics novels contemporary adult literature 20th-century abandoned ebooks modern-classics unfinished philosophy non-fiction travel essays american memoir biography biography-memoir autobiography school literary-fiction family self-help religion inspirational relationships spirituality business psychology personal-development buddhism zen robertm.pirsig,book
65,65,No Logo,fiction contemporary science 20th-century abandoned ebooks unfinished philosophy history non-fiction reference essays education social journalism social-science cultural-studies sociology school canada politics college economics business academic society social-issues sustainability psychology pop-culture activism design political-science social-justice theory naomiklein,book
66,66,War and Peace,fiction classics novels romance adult adult-fiction literature abandoned ebooks unfinished philosophy history historical epic classic-literature war historical-fiction literary-fiction 19th-century politics drama russian-literature russia leotolstoy henrygifford aylmermaude louisemaude,book
67,67,Atlas Shrugged,fantasy fiction classics novels mystery romance contemporary science-fiction adult adult-fiction literature science 20th-century abandoned ebooks modern-classics unfinished philosophy non-fiction american classic-literature historical-fiction literary-fiction politics drama modern dystopia economics business aynrand leonardpeikoff,book
68,68,The Virtue of Selfishness: A New Concept of Egoism,fiction classics contemporary literature 20th-century abandoned ebooks unfinished philosophy history non-fiction essays american sociology self-help politics modern economics business psychology political-science theory atheism aynrand nathanielbranden,book
69,69,Anthem,fantasy young-adult fiction classics novels romance contemporary science-fiction adult adult-fiction literature speculative-fiction 20th-century ebooks philosophy american short-stories classic-literature school read-for-school literary-fiction politics high-school modern novella dystopia post-apocalyptic aynrand,book
70,70,We the Living,fiction classics novels romance contemporary science-fiction adult adult-fiction literature 20th-century ebooks modern-classics unfinished philosophy history non-fiction historical american autobiography classic-literature war historical-fiction literary-fiction politics drama high-school dystopia economics russian-literature russia romanticism aynrand leonardpeikoff,book
71,71,Sailing Alone Around the Room: New and Selected Poems,fiction classics contemporary humor adult literature ebooks non-fiction american 21st-century language school college poetry anthologies billycollins,book
72,72,Digging to America,fiction novels contemporary adult adult-fiction literature abandoned ebooks american realistic-fiction historical-fiction literary-fiction family parenting adoption drama cultural relationships asia chick-lit iran annetyler,book
73,73,The Plot Against America,fantasy fiction classics novels contemporary science-fiction adult adult-fiction literature speculative-fiction 20th-century abandoned history non-fiction historical american 21st-century united-states americana war school historical-fiction literary-fiction politics drama modern jewish judaism dystopia alternate-history world-war-ii holocaust antisemitism philiproth,book
74,74,America (The Book): A Citizen's Guide to Democracy Inaction,fiction humor funny comedy adult literature abandoned history non-fiction historical reference essays education american 21st-century biography united-states americana journalism social-science sociology historical-fiction american-history politics society pop-culture political-science government tv jonstewart benkarlin davidjaverbaum richbloomquist stevebodow timcarvell ericdrysdale j.r.havlan scottjacobson tomjohnson robkutner chrisregan jasonreich jasonross stephencolbert samanthabee robcorddry brendanhay edhelms,book
75,75,Memories of My Melancholy Whores,fiction classics novels romance contemporary love adult adult-fiction literature ebooks modern-classics 21st-century short-stories historical-fiction literary-fiction drama sexuality novella latin-american latin-american-literature spanish-literature magical-realism gabrielgarcíamárquez edithgrossman,book
76,76,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",space science abandoned ebooks unfinished philosophy history non-fiction popular-science physics reference nature astronomy science-nature research theory mathematics quantum-mechanics briangreene,book
77,77,Cryptonomicon,fantasy fiction adventure novels mystery contemporary science-fiction-fantasy thriller science-fiction literature science speculative-fiction 20th-century abandoned ebooks unfinished history historical american war historical-fiction espionage alternate-history mathematics cyberpunk technology computers nealstephenson,book
78,78,"The Confusion (The Baroque Cycle, #2)",fantasy fiction adventure novels science-fiction-fantasy action science-fiction literature science speculative-fiction abandoned ebooks unfinished philosophy history historical american france epic historical-fiction pirates espionage economics alternate-history cyberpunk steampunk historical-fantasy 17th-century nealstephenson,book
79,79,"Quicksilver (The Baroque Cycle, #1)",fantasy fiction adventure novels science-fiction-fantasy action thriller science-fiction literature science speculative-fiction abandoned ebooks unfinished philosophy history historical american epic historical-fiction alternate-history cyberpunk steampunk historical-fantasy 17th-century adventurers nealstephenson,book
80,80,Zodiac,fantasy fiction adventure novels mystery contemporary science-fiction-fantasy action humor thriller science-fiction comedy adult-fiction literature science speculative-fiction 20th-century abandoned ebooks american politics horror crime suspense mystery-thriller dystopia detective environment ecology activism cyberpunk nealstephenson,book
81,81,"The Diamond Age: or, A Young Lady's Illustrated Primer",fantasy fiction adventure novels coming-of-age science-fiction-fantasy science-fiction adult literature science speculative-fiction 20th-century abandoned ebooks unfinished american victorian dystopia cyberpunk technology steampunk china nealstephenson,book
82,82,Snow Crash,fantasy fiction adventure classics novels mystery contemporary science-fiction-fantasy humor thriller science-fiction adult adult-fiction literature science speculative-fiction 20th-century abandoned ebooks unfinished american mythology religion dystopia cyberpunk technology nealstephenson,book
83,83,The Design of Everyday Things,classics science abandoned unfinished philosophy history non-fiction reference education art research school business academic psychology design technology engineering art-design programming game-design software technical computer-science architecture usability donalda.norman,book
84,84,The Alchemist,fantasy young-adult fiction adventure classics novels romance contemporary adult adult-fiction literature 20th-century abandoned ebooks modern-classics unfinished philosophy non-fiction travel school historical-fiction literary-fiction self-help religion africa drama inspirational spirituality latin-american magical-realism personal-development brazil spain paulocoelho alanr.clarke,book
85,85,"Fullmetal Alchemist, Vol. 1 (Fullmetal Alchemist, #1)",fantasy young-adult fiction magic adventure teen supernatural mystery romance action science-fiction funny comedy epic graphic-novels comics manga anime comics-manga graphic-novels-manga alchemy sequential-art graphic-novels-comics hiromuarakawa akirawatanabe,book
86,86,Pompeii,fiction adventure classics novels mystery thriller adult adult-fiction literature ebooks history non-fiction historical travel 21st-century school historical-fiction drama italy roman crime suspense mystery-thriller ancient-history ancient historical-mystery robertharris,book
87,87,Of Mice and Men,young-adult fiction classics novels adult adult-fiction literature 20th-century modern-classics historical american americana classic-literature realistic-fiction school read-for-school historical-fiction literary-fiction drama high-school banned-books american-classics novella tragedy johnsteinbeck,book
88,88,The Game: Penetrating the Secret Society of Pickup Artists,fiction novels romance contemporary love humor funny adult abandoned ebooks philosophy non-fiction american memoir biography biography-memoir autobiography social journalism social-science sociology family self-help relationships sexuality business society psychology personal-development communication neilstrauss,book
89,89,The Westing Game,fantasy young-adult fiction childrens adventure children-s classics novels middle-grade teen mystery juvenile contemporary humor thriller realistic-fiction school read-for-school chapter-books suspense mystery-thriller ellenraskin,book
90,90,"The Egypt Game (Game, #1)",fantasy young-adult fiction childrens adventure children-s classics novels middle-grade teen mystery juvenile contemporary 20th-century mythology realistic-fiction school read-for-school chapter-books historical-fiction young-readers banned-books egypt zilphakeatleysnyder,book
91,91,Memoirs of a Geisha,fiction classics novels romance contemporary coming-of-age love adult adult-fiction literature 20th-century abandoned modern-classics history non-fiction historical american memoir biography war movies realistic-fiction historical-fiction literary-fiction drama high-school cultural asia chick-lit japan historical-romance asian-literature arthurgolden,book
92,92,The Five Love Languages of Children,love adult abandoned unfinished non-fiction reference education family parenting self-help religion inspirational relationships psychology personal-development communication christian christian-living faith marriage christian-non-fiction christianity teaching garychapman d.rosscampbell,book
93,93,"Angels & Demons  (Robert Langdon, #1)",fantasy fiction adventure classics mystery romance contemporary action thriller science-fiction adult adult-fiction literature abandoned ebooks history historical american movies art realistic-fiction historical-fiction religion drama modern italy crime suspense mystery-thriller detective murder-mystery danbrown,book
94,94,"The Da Vinci Code (Robert Langdon, #2)",fantasy fiction adventure classics novels mystery romance contemporary action thriller science-fiction adult adult-fiction literature abandoned ebooks history historical american 21st-century france movies art realistic-fiction historical-fiction religion drama suspense mystery-thriller detective danbrown,book
95,95,Deception Point,fantasy fiction adventure novels mystery romance contemporary action thriller science-fiction adult adult-fiction literature science ebooks american historical-fiction politics drama crime suspense mystery-thriller detective presidents danbrown,book
96,96,The Millionaire Next Door: The Surprising Secrets of Americas Wealthy,science abandoned ebooks unfinished philosophy non-fiction reference social-science sociology self-help how-to inspirational economics business psychology finance personal-finance money personal-development entrepreneurship leadership money-management thomasj.stanley williamd.danko,book
97,97,Think and Grow Rich: The Landmark Bestseller - Now Revised and Updated for the 21st Century,classics abandoned ebooks unfinished non-fiction education self-help inspirational spirituality economics business finance personal-finance money personal-development entrepreneurship leadership productivity management napoleonhill,book
98,98,Trump: The Art of the Deal,20th-century philosophy history non-fiction education memoir biography biography-memoir autobiography united-states self-help politics inspirational economics business psychology finance money personal-development entrepreneurship communication presidents leadership management donaldj.trump tonyschwartz,book
99,99,The Richest Man in Babylon,fiction classics abandoned philosophy history non-fiction education historical-fiction self-help inspirational economics business psychology finance personal-finance money personal-development entrepreneurship leadership georges.clason,book
100,100,1776,fiction classics adult abandoned ebooks unfinished history non-fiction historical american biography united-states war school historical-fiction american-history politics presidents american-revolution military-history 18th-century davidmccullough,book
101,101,"The Good Earth (House of Earth, #1)",young-adult fiction novels adult adult-fiction literature 20th-century abandoned modern-classics american classic-literature school read-for-school family drama cultural asia china asian-literature pearls.buck,book
102,102,Fast Food Nation: The Dark Side of the All-American Meal,fiction contemporary adult science abandoned unfinished history non-fiction reference american journalism social-science cultural-studies sociology school read-for-school health politics high-school college environment economics business society social-issues sustainability psychology pop-culture food nutrition foodie food-and-drink cooking food-writing ericschlosser,book
103,103,Snow Flower and the Secret Fan,young-adult fiction novels romance contemporary coming-of-age adult adult-fiction literature abandoned ebooks history historical school historical-fiction literary-fiction 19th-century family drama cultural relationships asia chick-lit china asian-literature international lisasee,book
104,104,The Broker,fiction adventure novels mystery contemporary action thriller adult adult-fiction ebooks american politics drama italy horror crime suspense mystery-thriller espionage legal-thriller law johngrisham,book
105,105,Liar's Poker,fiction humor funny 20th-century abandoned ebooks unfinished history non-fiction american memoir biography biography-memoir autobiography journalism politics economics business finance money leadership banking michaellewis,book
106,106,Giada's Family Dinners,fiction adult ebooks non-fiction reference family italy food foodie cooking cookbooks culinary giadadelaurentiis victoriapearson,book
107,107,Everyday Italian: 125 Simple and Delicious Recipes,ebooks non-fiction reference 21st-century research how-to italy food foodie food-and-drink cooking cookbooks culinary cuisine food-and-wine giadadelaurentiis,book
108,108,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",fiction contemporary humor adult science abandoned ebooks unfinished philosophy history non-fiction reference essays education american 21st-century social social-science sociology school self-help politics economics business academic society psychology finance money mathematics management stevend.levitt stephenj.dubner,book
109,109,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)",fantasy fiction adventure classics novels mystery romance contemporary coming-of-age thriller adult adult-fiction literature abandoned ebooks unfinished history historical 21st-century books-about-books historical-fiction literary-fiction drama roman spanish-literature magical-realism crime gothic suspense mystery-thriller spain carlosruizzafón luciagraves,book
110,110,A Million Little Pieces,fiction novels contemporary adult adult-fiction literature abandoned unfinished non-fiction american memoir biography biography-memoir autobiography realistic-fiction drama mental-illness mental-health psychology jamesfrey,book
111,111,"Men Are from Mars, Women Are from Venus",fiction classics romance contemporary love adult abandoned ebooks unfinished philosophy non-fiction reference american social sociology family health self-help inspirational relationships psychology personal-development chick-lit communication marriage gender johngray,book
112,112,"The Clan of the Cave Bear (Earth's Children, #1)",fantasy young-adult fiction adventure classics novels romance contemporary science-fiction adult-fiction literature speculative-fiction 20th-century ebooks unfinished history historical anthropology american epic survival historical-fiction roman chick-lit historical-fantasy prehistoric jeanm.auel,book
113,113,Moneyball: The Art of Winning an Unfair Game,fiction contemporary adult science abandoned ebooks history non-fiction historical american memoir biography journalism sociology sports economics business psychology finance money mathematics leadership management baseball michaellewis,book
114,114,The 48 Laws of Power,classics science abandoned ebooks unfinished philosophy history non-fiction historical reference biography social social-science sociology war self-help politics inspirational relationships economics business psychology personal-development entrepreneurship theory leadership productivity management robertgreene joostelffers,book
115,115,Gates of Fire: An Epic Novel of the Battle of Thermopylae,fantasy fiction adventure classics novels action adult literature abandoned ebooks unfinished philosophy history non-fiction historical epic war historical-fiction ancient-history ancient leadership military-history greece military-fiction stevenpressfield,book
116,116,"Fire Sea (The Death Gate Cycle, #3)",fantasy fiction magic adventure novels science-fiction-fantasy dragons epic-fantasy science-fiction high-fantasy adult adult-fiction ebooks epic death dragonlance sword-and-sorcery margaretweis tracyhickman,book
117,117,The War of Art: Break Through the Blocks & Win Your Inner Creative Battles,fiction abandoned ebooks unfinished philosophy non-fiction reference essays writing art photography self-help how-to inspirational spirituality business psychology music personal-development entrepreneurship design art-design leadership productivity stevenpressfield robertmckee,book
118,118,The Histories,fiction classics adult literature abandoned unfinished philosophy history non-fiction historical reference travel anthropology world-history classic-literature mythology war school read-for-school historical-fiction politics college ancient-history ancient egypt greece classical-studies european-history herodotus aubreydesélincourt johnm.marincola,book
119,119,The Iliad,fantasy fiction adventure classics novels adult adult-fiction literature abandoned ebooks unfinished philosophy history non-fiction historical epic classic-literature mythology war school read-for-school historical-fiction drama high-school college poetry ancient-history ancient greece classical-studies epic-poetry greek-mythology homer robertfagles frédéricmugler bernardknox,book
120,120,The Iliad/The Odyssey,fantasy fiction adventure classics novels supernatural romance adult adult-fiction literature collections philosophy history non-fiction historical epic classic-literature mythology war school read-for-school historical-fiction religion drama high-school college poetry ancient-history ancient greece epic-poetry greek-mythology homer robertfagles bernardknox,book
121,121,The Odyssey,fantasy fiction adventure classics novels adult adult-fiction literature ebooks unfinished philosophy history non-fiction historical travel epic classic-literature mythology war school read-for-school historical-fiction literary-fiction drama high-school college poetry ancient-history ancient greece classical-studies epic-poetry greek-mythology plays homer robertfagles e.v.rieu frédéricmugler bernardknox,book
